TransactionID,Date,ProductID,BranchID,Quantity,Discount,PaymentMethod
1,2026-06-10,P013,B04,3,9,Cash
2,2026-01-25,P001,B03,1,14,QRIS
3,2026-04-09,P014,B02,3,2,QRIS
4,2026-03-09,P007,B02,1,20,Credit Card
5,2026-02-19,P024,B02,9,6,Credit Card
6,2026-04-24,P022,B03,4,15,Credit Card
7,2026-06-02,P013,B01,5,10,QRIS
8,2026-03-13,P009,B04,6,2,QRIS
9,2026-02-16,P002,B03,8,12,E-Wallet
10,2026-05-16,P014,B02,3,20,Credit Card
11,2026-04-06,P021,B01,7,15,Cash
12,2026-01-11,P022,B01,4,2,QRIS
13,2026-06-04,P025,B05,10,10,E-Wallet
14,2026-05-05,P015,B05,4,8,Debit Card
15,2026-04-06,P009,B04,1,9,Debit Card
16,2026-02-25,P016,B03,5,14,Cash
17,2026-04-30,P012,B02,9,5,Credit Card
18,2026-02-05,P009,B05,5,4,E-Wallet
19,2026-01-30,P002,B04,10,4,Debit Card
20,2026-06-14,P018,B01,2,5,E-Wallet
21,2026-03-05,P021,B01,9,1,E-Wallet
22,2026-05-10,P014,B02,7,3,Debit Card
23,2026-04-06,P008,B01,1,6,QRIS
24,2026-06-26,P004,B03,10,6,QRIS
25,2026-02-14,P023,B05,4,17,QRIS
26,2026-02-17,P011,B05,1,0,E-Wallet
27,2026-02-13,P023,B05,10,3,E-Wallet
28,2026-05-04,P010,B03,9,15,QRIS
29,2026-01-01,P020,B01,1,18,Debit Card
30,2026-02-12,P018,B05,10,11,Debit Card
31,2026-02-06,P020,B01,9,16,Debit Card
32,2026-03-20,P023,B05,6,17,Cash
33,2026-06-16,P017,B05,9,16,E-Wallet
34,2026-04-01,P016,B05,3,13,Debit Card
35,2026-01-02,P014,B04,6,14,Cash
36,2026-02-15,P001,B02,1,5,QRIS
37,2026-02-26,P006,B04,4,20,QRIS
38,2026-03-28,P002,B05,1,13,Cash
39,2026-03-29,P021,B03,9,3,Cash
40,2026-04-05,P024,B01,7,9,Cash
41,2026-03-11,P007,B02,2,6,QRIS
42,2026-01-19,P003,B03,6,4,Credit Card
43,2026-02-16,P006,B01,6,17,Credit Card
44,2026-04-29,P003,B03,5,0,E-Wallet
45,2026-02-01,P021,B03,10,13,Cash
46,2026-02-23,P010,B01,6,6,E-Wallet
47,2026-04-25,P009,B02,9,9,Credit Card
48,2026-06-06,P021,B04,9,0,E-Wallet
49,2026-02-19,P025,B05,7,18,Cash
50,2026-02-22,P019,B01,5,0,Credit Card
51,2026-05-18,P001,B01,2,20,Debit Card
52,2026-02-27,P018,B05,1,10,Credit Card
53,2026-04-07,P006,B01,2,20,Cash
54,2026-04-29,P014,B03,6,14,Cash
55,2026-02-04,P009,B01,8,7,Debit Card
56,2026-06-24,P002,B05,4,0,Debit Card
57,2026-01-10,P005,B03,5,6,Cash
58,2026-05-07,P016,B05,7,9,Credit Card
59,2026-06-07,P022,B02,8,9,Cash
60,2026-05-26,P002,B02,3,19,E-Wallet
61,2026-04-09,P024,B01,8,2,E-Wallet
62,2026-03-14,P024,B03,6,5,Credit Card
63,2026-04-19,P003,B02,6,14,Debit Card
64,2026-05-24,P025,B03,9,5,Credit Card
65,2026-06-19,P018,B01,4,7,Cash
66,2026-05-13,P011,B02,9,17,Debit Card
67,2026-01-20,P012,B05,6,17,E-Wallet
68,2026-03-13,P004,B01,10,17,Debit Card
69,2026-04-17,P018,B02,6,11,QRIS
70,2026-03-04,P014,B04,4,12,Cash
71,2026-02-21,P014,B01,3,16,E-Wallet
72,2026-02-02,P025,B03,5,5,Debit Card
73,2026-04-29,P021,B01,10,6,QRIS
74,2026-06-16,P013,B04,9,11,E-Wallet
75,2026-02-19,P002,B01,9,14,Credit Card
76,2026-01-19,P016,B02,5,6,E-Wallet
77,2026-05-19,P014,B04,6,9,QRIS
78,2026-04-06,P018,B01,8,0,Cash
79,2026-05-04,P010,B03,1,5,QRIS
80,2026-04-17,P005,B01,10,13,Debit Card
81,2026-04-18,P006,B02,10,0,Cash
82,2026-02-12,P014,B04,2,16,QRIS
83,2026-01-14,P003,B01,3,20,QRIS
84,2026-06-25,P022,B04,10,9,Credit Card
85,2026-02-21,P003,B05,10,11,Cash
86,2026-02-16,P025,B01,2,15,Credit Card
87,2026-03-21,P004,B04,3,17,Debit Card
88,2026-05-26,P009,B05,1,15,QRIS
89,2026-06-05,P020,B02,5,13,E-Wallet
90,2026-03-03,P001,B02,3,8,QRIS
91,2026-01-27,P005,B03,6,18,QRIS
