TransactionID,Date,ProductID,BranchID,Quantity,Discount,PaymentMethod
1,2026-03-02,P012,B02,4,13,Credit Card
2,2026-01-14,P011,B03,7,1,E-Wallet
3,2026-01-28,P017,B01,1,7,Debit Card
4,2026-01-20,P022,B01,5,2,Credit Card
5,2026-02-19,P014,B04,6,15,E-Wallet
6,2026-06-04,P004,B01,1,17,Debit Card
7,2026-06-24,P016,B01,8,0,QRIS
8,2026-05-04,P021,B05,9,20,Cash
9,2026-03-28,P018,B03,7,11,QRIS
10,2026-01-19,P015,B04,1,19,QRIS
11,2026-01-27,P001,B04,5,18,Debit Card
12,2026-03-25,P025,B05,1,7,E-Wallet
13,2026-02-27,P023,B05,10,4,E-Wallet
14,2026-01-13,P024,B01,8,7,Cash
15,2026-02-15,P008,B03,5,4,Cash
16,2026-05-10,P011,B02,6,7,Credit Card
17,2026-03-22,P002,B03,6,12,QRIS
18,2026-01-14,P007,B04,8,8,Debit Card
19,2026-02-10,P021,B01,2,2,E-Wallet
20,2026-06-14,P024,B02,1,17,Cash
21,2026-01-28,P009,B05,6,2,Credit Card
22,2026-02-16,P004,B04,5,18,Debit Card
23,2026-04-19,P008,B03,5,16,E-Wallet
24,2026-06-27,P017,B04,4,1,Cash
25,2026-03-01,P023,B04,6,16,Credit Card
26,2026-01-30,P022,B01,3,9,Credit Card
27,2026-01-28,P010,B02,4,13,Debit Card
28,2026-01-06,P008,B05,1,19,Debit Card
29,2026-02-10,P025,B05,7,19,QRIS
30,2026-02-10,P020,B05,10,12,Cash
31,2026-05-25,P003,B02,5,2,Debit Card
32,2026-01-24,P005,B05,2,18,E-Wallet
33,2026-02-02,P021,B05,1,9,Debit Card
34,2026-05-11,P020,B04,8,14,QRIS
35,2026-05-22,P024,B04,9,7,QRIS
36,2026-06-20,P024,B02,10,15,E-Wallet
37,2026-03-14,P021,B05,2,9,QRIS
38,2026-02-15,P025,B03,1,4,E-Wallet
39,2026-05-13,P018,B04,2,17,E-Wallet
40,2026-04-30,P014,B03,7,10,Credit Card
41,2026-01-03,P016,B01,7,6,Debit Card
42,2026-05-28,P020,B04,7,6,Debit Card
43,2026-06-12,P024,B03,9,4,Debit Card
44,2026-05-29,P015,B02,1,18,Cash
45,2026-02-27,P012,B04,1,0,Credit Card
46,2026-05-19,P012,B04,3,12,Cash
47,2026-06-14,P017,B05,6,18,Debit Card
48,2026-01-10,P021,B02,6,4,Credit Card
49,2026-06-01,P007,B05,2,19,Cash
50,2026-01-12,P005,B02,2,1,Credit Card
51,2026-03-16,P008,B05,7,19,E-Wallet
52,2026-02-17,P019,B05,10,11,QRIS
53,2026-03-26,P024,B02,7,11,Debit Card
54,2026-02-27,P013,B02,8,8,Cash
55,2026-02-08,P014,B05,1,5,QRIS
56,2026-02-17,P021,B05,9,12,E-Wallet
57,2026-02-16,P023,B03,10,8,Debit Card
58,2026-01-03,P018,B04,6,19,E-Wallet
59,2026-01-14,P002,B05,2,2,Debit Card
60,2026-01-05,P015,B01,10,20,E-Wallet
61,2026-03-27,P004,B02,4,10,QRIS
62,2026-05-01,P011,B03,6,9,Credit Card
63,2026-02-12,P023,B05,7,5,Debit Card
64,2026-02-13,P019,B03,5,9,Debit Card
65,2026-02-24,P008,B05,8,3,E-Wallet
66,2026-04-18,P020,B03,6,12,QRIS
67,2026-02-12,P022,B04,5,6,Cash
68,2026-03-01,P017,B04,8,18,E-Wallet
69,2026-05-16,P010,B05,5,11,Cash
70,2026-02-03,P001,B03,9,15,QRIS
71,2026-05-06,P013,B05,9,0,QRIS
72,2026-06-17,P015,B05,5,4,Debit Card
73,2026-06-06,P006,B05,3,18,Cash
74,2026-04-09,P016,B05,10,18,Cash
75,2026-06-18,P007,B04,7,17,Credit Card
76,2026-04-29,P020,B05,6,20,Debit Card
77,2026-06-13,P009,B04,10,4,QRIS
78,2026-05-26,P001,B04,4,9,QRIS
79,2026-05-21,P007,B04,10,8,Credit Card
80,2026-01-17,P013,B04,5,8,Credit Card
81,2026-06-09,P020,B01,3,17,Debit Card
82,2026-05-15,P006,B01,4,9,Cash
83,2026-05-01,P004,B05,10,20,Cash
