TransactionID,Date,ProductID,BranchID,Quantity,Discount,PaymentMethod
1,2026-03-12,P023,B05,10,3,Debit Card
2,2026-03-12,P024,B02,6,10,E-Wallet
3,2026-04-26,P025,B03,7,8,Credit Card
4,2026-01-22,P020,B01,10,8,Cash
5,2026-06-14,P018,B05,5,3,QRIS
6,2026-03-23,P018,B01,7,10,Credit Card
7,2026-06-10,P009,B01,9,19,Cash
8,2026-03-29,P007,B03,2,0,Cash
9,2026-01-04,P014,B04,1,17,Debit Card
10,2026-01-27,P011,B02,6,14,Cash
11,2026-03-02,P007,B01,10,17,Credit Card
12,2026-01-03,P001,B04,1,13,Debit Card
13,2026-05-23,P001,B05,5,9,Cash
14,2026-04-03,P005,B03,5,5,Credit Card
15,2026-04-28,P019,B02,9,15,Debit Card
16,2026-02-24,P009,B05,4,17,Credit Card
17,2026-03-01,P002,B03,6,11,Credit Card
18,2026-06-21,P024,B02,6,4,Cash
19,2026-05-31,P025,B02,8,20,Credit Card
20,2026-06-06,P007,B01,5,3,Credit Card
21,2026-05-17,P005,B04,8,4,Credit Card
22,2026-01-20,P025,B04,10,0,Credit Card
23,2026-05-13,P016,B01,8,19,Credit Card
24,2026-05-25,P016,B05,8,14,E-Wallet
25,2026-04-18,P003,B05,1,15,Cash
26,2026-05-22,P006,B03,8,12,Credit Card
27,2026-06-09,P004,B05,10,19,Cash
28,2026-04-25,P003,B01,10,6,Credit Card
29,2026-03-10,P012,B03,6,10,E-Wallet
30,2026-01-15,P007,B04,5,14,QRIS
31,2026-02-28,P003,B05,3,20,Cash
32,2026-06-13,P015,B01,7,17,Credit Card
33,2026-03-21,P011,B03,5,7,Cash
34,2026-03-01,P005,B01,7,17,Cash
35,2026-05-02,P018,B01,9,6,Cash
36,2026-02-26,P025,B05,9,5,E-Wallet
37,2026-03-24,P005,B04,4,19,E-Wallet
38,2026-02-19,P012,B03,8,10,Credit Card
39,2026-06-21,P022,B03,5,10,QRIS
40,2026-03-26,P013,B03,2,1,Debit Card
41,2026-04-06,P021,B04,5,19,Debit Card
42,2026-01-01,P002,B05,7,13,Credit Card
43,2026-01-21,P002,B04,4,3,QRIS
44,2026-01-31,P024,B05,3,15,E-Wallet
45,2026-03-07,P021,B04,1,1,Cash
46,2026-05-14,P015,B05,10,1,Credit Card
